word1,word2,n
dj,tool,907
big,room,419
techno,ep,415
drum,bass,353
house,tracks,351
tool,techno,329
spaced,out,319
tool,house,290
deep,house,265
reissue,of,252
b,w,237
techno,cuts,237
room,techno,234
house,cuts,233
house,ep,231
ambient,techno,225
tech,house,225
dubbed,out,215
detroit,techno,165
acid,house,150
techno,house,150
chicago,house,147
techno,trips,138
highly,recommended,128
house,techno,127
techno,tracks,125
via,uk,122
w,download,111
out,techno,105
from,the,104
uk,funky,104
uk,garage,101
uk,house,101
room,dj,99
techno,set,99
atmospheric,techno,95
mini,compilation,90
house,trips,89
industrial,techno,88
stripped,down,88
techno,bangers,88
uk,techno,87
leftfield,house,86
detroit,house,85
uk,bass,85
killer,techno,84
reissue,via,84
download,code,83
techno,album,83
hard,hitting,82
disco,house,80
house,set,79
comes,w,78
compilation,of,77
techno,banger,77
valuable,reissue,77
80,s,75
old,school,75
remix,set,75
techno,w,75
electro,cuts,74
far,out,73
house,album,73
ambient,electronica,72
classic,detroit,72
dub,techno,72
acid,techno,71
house,tunes,71
early,1990s,69
hip,hop,69
of,the,69
sub,heavy,69
techno,electro,68
house,jams,67
ambient,house,66
original,dubstep,66
tripping,techno,64
effective,dj,63
ep,w,61
ep,fine,60
techno,excursions,60
effective,big,59
house,w,59
out,house,58
atmospheric,house,57
cuts,fine,57
effective,techno,56
mixture,of,55
90,s,53
techno,jams,52
leftfield,techno,51
new,wave,51
on,the,51
techno,mini,51
techno,remix,51
dubstep,cuts,50
us,house,50
chicago,acid,49
full,range,49
house,excursions,49
minimalist,techno,49
banging,techno,48
dub,house,48
electro,ep,48
house,inspired,47
techno,ambient,47
half,stepping,46
psychedelic,house,45
jacking,techno,44
of,a,44
out,there,43
the,edge,43
tool,cuts,43
techno,stompers,42
album,w,41
detroit,school,41
of,classic,41
techno,electronica,41
tripping,house,41
electro,techno,40
house,classic,40
house,grooves,40
italo,disco,40
acidic,house,39
acidic,techno,39
ep,excellent,39
experimental,edged,39
idm,electronica,39
issue,of,39
mid,1990s,39
re,issue,39
sound,scapes,39
repress,w,38
tool,tech,38
w,subtle,38
hybrid,ep,37
beat,science,36
by,the,36
edge,of,36
ep,classy,36
house,fine,36
late,80,36
leftfield,ukg,36
take,on,36
tracks,fine,36
classic,chicago,35
cuts,excellent,35
electronica,ep,35
highly,effective,35
house,b,35
previously,unreleased,35
stepping,drum,35
copy,only,34
cuts,w,34
electronic,music,34
house,rooted,34
minimalist,house,34
mint,copy,34
one,sided,34
party,guaranteed,34
raw,techno,34
stomping,techno,34
beatdown,house,33
house,tech,33
perfect,big,33
ukg,rooted,33
1990s,us,32
hard,jacking,32
house,dj,32
minimalist,dj,32
out,ambient,32
pure,techno,32
synth,pop,32
in,a,31
lo,fi,31
1990s,detroit,30
atmospheric,dj,30
cutting,edge,30
for,the,30
funked,up,30
heavy,techno,30
house,electro,30
house,leaning,30
in,full,30
leaning,techno,30
one,mint,30
out,tripping,30
rooted,techno,30
stepping,techno,30
techno,fine,30
techno,hybrid,30
techno,rooted,30
techno,steppers,30
ambient,dub,29
anthem,alert,29
cut,up,29
disco,infected,29
download,card,29
driving,techno,29
funky,house,29
jacking,house,29
rhythm,textures,29
ambient,drum,28
ambient,excursions,28
classic,house,28
dance,pop,28
fine,atmospheric,28
label,showcase,28
neo,detroit,28
pulsating,ambient,28
rooted,house,28
subs,driven,28
tracks,w,28
1990s,uk,27
dubstep,uk,27
electronic,drone,27
fine,spaced,27
house,groovers,27
locked,grooves,27
retro,house,27
room,house,27
school,chicago,27
techno,stepper,27
techno,tools,27
uk,hardcore,27
collection,of,26
dubstep,compatible,26
early,90,26
house,groover,26
killer,cuts,26
larry,heard,26
must,have,26
set,w,26
techno,bomb,26
tripped,out,26
w,o,26
a,true,25
by,a,25
crafty,dj,25
dubstep,rave,25
house,bangers,25
industrial,esque,25
industrial,leaning,25
late,night,25
oldschool,chicago,25
one,copy,25
original,chicago,25
subtle,atmospheric,25
techno,b,25
techno,classic,25
classic,1990s,24
cuts,classy,24
dark,techno,24
echoes,of,24
electronica,album,24
fine,tripping,24
garage,dubstep,24
idm,ish,24
in,between,24
infected,dubstep,24
leftfield,drum,24
rave,cuts,24
techno,hybrids,24
ukg,uk,24
album,comes,23
ambient,album,23
blend,of,23
chords,driven,23
code,included,23
electro,tracks,23
house,mini,23
hybrid,cuts,23
noisy,techno,23
rooted,ep,23
s,chicago,23
school,rooted,23
techno,in,23
techno,leaning,23
techno,related,23
thrown,in,23
