word,n,comma_n,comma_prob
fine,580,51,9
excellent,339,94,28
classy,264,178,67
classic,212,27,13
crafty,202,110,54
reissue,186,4,2
killer,176,25,14
superb,155,46,30
heavy,152,95,62
hard,129,48,37
effective,122,107,88
minimalist,122,114,93
raw,120,67,56
diverse,113,71,63
dj,104,NA,0
atmospheric,100,67,67
valuable,93,1,1
perfect,90,44,49
warm,86,54,63
a,81,NA,0
boomy,81,78,96
spaced,79,NA,0
driving,78,36,46
subtle,75,31,41
stomping,73,78,107
sparse,68,94,138
dark,67,69,103
the,66,NA,0
proper,61,18,30
outstanding,59,32,54
essential,57,11,19
deep,56,14,25
dubbed,56,NA,0
pure,56,43,77
tripping,54,33,61
brilliant,52,21,40
fresh,52,51,98
detroit,50,NA,0
ace,49,34,69
big,49,NA,0
extended,49,18,37
chilled,48,29,60
original,47,27,57
reduced,47,30,64
uplifting,47,20,43
far,45,NA,0
exceptional,44,13,30
noisy,42,58,138
compilation,41,2,5
deadly,40,20,50
perfectly,40,NA,0
banging,39,40,103
disco,39,2,5
jacking,39,45,115
re,39,NA,0
acidic,38,39,103
beautiful,38,12,32
one,38,1,3
full,37,NA,0
mellow,37,5,14
retro,37,NA,0
wild,36,18,50
dense,35,32,91
epic,34,28,82
leftfield,34,3,9
stripped,34,1,3
ambient,33,8,24
droning,33,29,88
wonderful,33,16,48
fabulous,32,18,56
uk,31,1,3
early,30,NA,0
late,30,NA,0
moody,30,6,20
stunning,30,18,60
repress,29,10,34
subtly,29,1,3
blinding,28,19,68
chicago,27,1,4
fantastic,27,17,63
swinging,27,36,133
well,27,NA,0
deeper,26,NA,0
heavily,26,NA,0
bouncy,25,14,56
dreamy,25,24,96
expertly,25,NA,0
finest,25,1,4
flawless,25,20,80
direct,24,36,150
idm,24,8,33
party,24,NA,0
smart,24,6,25
out,23,108,470
twisted,23,16,70
intense,22,23,105
rare,22,1,5
varied,22,17,77
experimental,21,4,19
long,21,3,14
stepping,21,35,167
crispy,20,6,30
industrial,20,2,10
kicking,20,4,20
blue,19,13,68
diversified,19,NA,0
psychedelic,19,6,32
smooth,19,4,21
solid,19,NA,0
techno,19,25,132
collection,18,NA,0
eternal,18,16,89
great,18,7,39
nice,18,NA,0
puristic,18,15,83
slamming,18,10,56
very,18,NA,0
adventurous,17,10,59
house,17,15,88
retroesque,17,23,135
breathtaking,16,4,25
dub,16,2,12
electronic,16,2,12
explorative,16,10,62
floor,16,1,6
from,16,NA,0
funked,16,NA,0
futuristic,16,5,31
obscure,16,1,6
old,16,NA,0
pulsating,16,33,206
tough,16,8,50
1990s,15,3,20
european,15,NA,0
italo,15,NA,0
no,15,NA,0
optimized,15,6,40
pumping,15,10,67
sub,15,NA,0
ultra,15,NA,0
dubstep,14,14,100
electro,14,2,14
electronica,14,10,71
oldschool,14,1,7
percussive,14,12,86
slightly,14,NA,0
straight,14,1,7
supreme,14,NA,0
two,14,NA,0
unique,14,8,57
vintage,14,NA,0
1980s,13,1,8
acid,13,4,31
awesome,13,3,23
dubby,13,1,8
feat,13,NA,0
highly,13,NA,0
hypnotic,13,6,46
mesmerising,13,12,92
next,13,NA,0
playful,13,9,69
punchy,13,3,23
slick,13,2,15
techy,13,14,108
absolute,12,1,8
anthem,12,3,25
cinematic,12,10,83
comprehensive,12,4,33
dry,12,8,67
excursions,12,4,33
half,12,NA,0
lush,12,2,17
mark,12,NA,0
new,12,1,8
pounding,12,11,92
80,11,NA,0
crisp,11,13,118
cutting,11,NA,0
ebm,11,1,9
lovely,11,2,18
luxury,11,2,18
powerful,11,6,55
previously,11,NA,0
taken,11,NA,0
w,11,NA,0
2015,10,NA,0
20th,10,NA,0
2nd,10,NA,0
90,10,NA,0
advanced,10,1,10
an,10,NA,0
ever,10,NA,0
