word1,word2,word3,n
dj,tool,techno,329
dj,tool,house,289
big,room,techno,234
big,room,dj,99
room,dj,tool,94
reissue,via,uk,83
valuable,reissue,of,71
tool,house,tracks,68
effective,dj,tool,61
effective,big,room,59
comes,w,download,57
spaced,out,techno,54
w,download,code,53
ambient,techno,ep,48
techno,mini,compilation,47
deep,house,tracks,46
dj,tool,cuts,43
dubbed,out,techno,43
chicago,acid,house,42
dj,tool,tech,38
on,the,edge,38
tool,tech,house,38
tool,techno,ep,37
late,80,s,36
the,edge,of,36
spaced,out,house,35
house,b,w,34
stepping,drum,bass,34
house,tech,house,33
perfect,big,room,33
classic,detroit,techno,32
house,dj,tool,31
minimalist,dj,tool,31
techno,remix,set,30
tool,techno,set,30
atmospheric,dj,tool,29
re,issue,of,29
ambient,drum,bass,28
half,stepping,drum,28
one,mint,copy,28
tool,techno,tracks,28
big,room,house,27
fine,spaced,out,27
early,90,s,26
crafty,dj,tool,25
repress,w,o,25
techno,b,w,25
techno,ep,fine,25
tool,house,set,25
leftfield,drum,bass,24
old,school,chicago,24
uk,funky,house,24
uk,garage,dubstep,24
download,code,included,23
reissue,of,classic,23
tool,house,ep,23
tool,techno,cuts,23
dj,tool,disco,22
house,mini,compilation,22
techno,cuts,fine,22
tool,house,cuts,22
w,o,sleeve,22
deep,house,ep,21
essential,must,have,21
jacking,dj,tool,21
neo,detroit,techno,21
room,techno,ep,21
dj,tool,deep,20
techno,ambient,techno,20
tool,deep,house,20
excellent,spaced,out,19
house,techno,ep,19
leaning,dj,tool,19
techno,house,cuts,19
acid,house,tracks,18
chicago,house,tracks,18
dj,tool,set,18
in,full,effect,18
somewhere,in,between,18
techno,dj,tool,18
tool,disco,house,18
tool,techno,house,18
80,s,chicago,17
album,comes,w,17
detroit,deep,house,17
detroit,techno,rooted,17
fine,dj,tool,17
house,ep,w,17
house,tracks,fine,17
instrumental,hip,hop,17
killer,techno,ep,17
old,school,house,17
room,techno,trips,17
subtly,dubbed,out,17
techno,ep,excellent,17
ambient,dub,techno,16
boomy,big,room,16
dare,to,be,16
detroit,techno,house,16
dj,tool,uk,16
room,techno,set,16
stomping,big,room,16
techno,ep,w,16
uk,tech,house,16
w,echoes,of,16
ambient,techno,excursions,15
ambient,techno,trips,15
crafty,big,room,15
cut,b,w,15
detroit,school,rooted,15
dj,tool,big,15
dj,tool,dubstep,15
dj,tool,ep,15
dubbed,out,house,15
out,dj,tool,15
pulsating,ambient,techno,15
reissue,of,a,15
room,techno,stompers,15
spaced,out,tripping,15
techno,house,tracks,15
to,be,different,15
tool,big,room,15
tripping,dj,tool,15
1990s,detroit,school,14
at,its,best,14
atmospheric,big,room,14
by,a,true,14
chicago,house,inspired,14
chicago,old,school,14
drum,bass,cuts,14
house,cuts,excellent,14
instrumental,r’n’b,infected,14
mint,copy,only,14
repress,via,uk,14
room,techno,cuts,14
stomping,dj,tool,14
tech,house,cuts,14
tech,house,ep,14
techno,ep,classy,14
tool,house,techno,14
uk,bass,related,14
1990s,us,house,13
atmospheric,techno,ep,13
cuts,b,w,13
deep,house,cuts,13
diverse,dj,tool,13
download,card,included,13
drum,bass,w,13
dubbed,out,ambient,13
dubstep,rave,cuts,13
fine,dubbed,out,13
from,the,vaults,13
house,tracks,crafty,13
industrial,techno,ep,13
minimalist,tech,house,13
out,ambient,techno,13
r’n’b,infected,dubstep,13
spaced,out,electro,13
techno,tech,house,13
tool,house,tech,13
12,from,the,12
acidic,dj,tool,12
atmospheric,tech,house,12
disco,infected,house,12
