word,n,comma_n,comma_prob
techno,3810,25,1
house,3429,15,0
ep,1144,5,0
w,1112,NA,0
dj,1008,NA,0
of,952,1,0
cuts,947,2,0
tool,914,NA,0
ambient,782,8,1
uk,770,1,0
tracks,759,6,1
out,738,108,15
fine,622,51,8
classic,621,27,4
dubstep,563,14,2
album,560,12,2
detroit,545,NA,0
in,544,NA,0
electro,531,2,0
bass,512,7,1
the,500,NA,0
atmospheric,491,67,14
killer,474,25,5
deep,444,14,3
chicago,434,1,0
room,422,NA,0
big,421,NA,0
heavy,417,95,23
classy,401,178,44
excellent,401,94,23
electronica,391,10,3
drum,388,NA,0
reissue,370,4,1
disco,367,2,1
prod,365,NA,0
set,349,2,1
a,339,NA,0
effective,339,107,32
and,334,NA,0
acid,331,4,1
spaced,324,NA,0
minimalist,319,114,36
leftfield,318,3,1
crafty,312,110,35
rooted,308,41,13
from,302,NA,0
tunes,301,1,0
tripping,299,33,11
dub,290,2,1
1990s,282,3,1
raw,277,67,24
excursions,270,4,1
to,266,NA,0
b,262,NA,0
original,260,27,10
industrial,258,2,1
remix,258,NA,0
tech,252,NA,0
hard,250,48,19
idm,248,8,3
compilation,247,2,1
trips,245,1,0
leaning,244,51,21
jacking,241,45,19
ukg,240,7,3
by,239,NA,0
dark,239,69,29
dubbed,221,NA,0
electronic,212,2,1
acidic,211,39,18
warm,205,54,26
version,203,4,2
stepping,202,35,17
early,201,NA,0
diverse,199,71,36
grime,196,10,5
stomping,195,78,40
recommended,194,3,2
subtle,194,31,16
sound,185,NA,0
s,183,NA,0
superb,182,46,25
school,178,NA,0
on,177,NA,0
one,177,1,1
repress,177,10,6
highly,175,NA,0
driving,174,36,21
pure,170,43,25
download,168,1,1
inspired,166,17,10
banging,165,40,24
sparse,164,94,57
music,160,7,4
noisy,158,58,37
essential,157,11,7
jams,156,NA,0
cut,151,2,1
pop,144,NA,0
funky,142,5,4
related,141,16,11
via,141,NA,0
fresh,137,51,37
driven,132,16,12
late,132,NA,0
boomy,131,78,60
hybrid,128,NA,0
infected,127,8,6
perfect,126,44,35
bangers,125,NA,0
drone,124,NA,0
vibes,120,1,1
garage,119,2,2
style,118,2,2
full,117,NA,0
retro,117,NA,0
reduced,114,30,26
mini,113,NA,0
reissued,112,9,8
swinging,112,36,32
psychedelic,111,6,5
up,111,1,1
new,110,1,1
pulsating,110,33,30
reminiscent,109,16,15
down,105,33,31
for,105,NA,0
techy,105,14,13
banger,103,NA,0
comes,102,NA,0
jazz,102,7,7
oldschool,102,1,1
outstanding,102,32,31
rhythm,102,NA,0
valuable,102,1,1
extended,101,18,18
centered,100,21,21
remixes,100,NA,0
chilled,99,29,29
droning,99,29,29
rave,99,2,2
with,97,NA,0
grooves,96,1,1
copy,94,2,2
proper,94,18,19
roots,94,7,7
wave,94,2,2
club,91,1,1
science,91,1,1
stripped,90,1,1
hybrids,88,NA,0
esque,87,NA,0
incl,87,NA,0
code,86,NA,0
hitting,86,40,47
sounding,86,8,9
us,86,NA,0
dance,85,NA,0
breakbeat,84,NA,0
subtly,84,1,1
ebm,83,1,1
uplifting,83,20,24
epic,82,28,34
instrumental,82,1,1
ish,82,NA,0
moody,82,6,7
reggae,82,4,5
sub,82,NA,0
deadly,81,20,25
dense,80,32,40
noise,80,2,2
party,80,NA,0
experimental,79,4,5
far,79,NA,0
twisted,79,16,20
footwork,78,4,5
